iter	Passed	Remaining
0	196	196792
1	203	101571
2	211	70307
3	220	54885
4	228	45411
5	235	38966
6	242	34339
7	248	30857
8	256	28250
9	263	26056
10	270	24276
11	277	22830
12	285	21699
13	290	20432
14	293	19289
15	296	18228
16	299	17293
17	301	16449
18	303	15684
19	305	14985
20	307	14350
21	310	13807
22	312	13260
23	313	12757
24	315	12294
25	316	11859
26	318	11462
27	319	11101
28	321	10750
29	322	10419
30	324	10130
31	325	9851
32	327	9584
33	328	9328
34	329	9082
35	330	8851
36	331	8632
37	332	8421
38	333	8223
39	334	8033
40	335	7853
41	336	7682
42	337	7518
43	338	7359
44	340	7233
45	341	7092
46	343	6954
47	344	6824
48	345	6697
49	346	6576
50	347	6459
51	348	6346
52	349	6237
53	350	6135
54	351	6033
55	352	5936
56	353	5842
57	354	5751
58	355	5665
59	356	5579
60	357	5506
61	358	5427
62	359	5349
63	360	5274
64	361	5201
65	362	5131
66	363	5065
67	364	5000
68	365	4936
69	366	4873
70	367	4812
71	368	4754
72	370	4699
73	371	4645
74	372	4590
75	373	4539
76	374	4489
77	375	4439
78	376	4390
79	377	4342
80	378	4295
81	379	4250
82	380	4201
83	381	4157
84	382	4114
85	383	4073
86	384	4033
87	385	3994
88	386	3956
89	387	3918
90	388	3881
91	389	3844
92	390	3808
93	391	3774
94	392	3739
95	393	3706
96	394	3672
97	395	3639
98	396	3607
99	397	3576
100	398	3545
101	399	3515
102	400	3488
103	401	3461
104	402	3434
105	403	3406
106	405	3380
107	405	3353
108	406	3326
109	407	3300
110	408	3274
111	409	3250
112	411	3229
113	412	3206
114	413	3183
115	414	3161
116	415	3136
117	416	3113
118	417	3091
119	418	3070
120	419	3049
121	420	3027
122	421	3006
123	422	2985
124	423	2964
125	424	2946
126	425	2926
127	426	2907
128	427	2888
129	428	2869
130	429	2851
131	430	2833
132	431	2815
133	432	2797
134	433	2779
135	434	2761
136	435	2744
137	436	2727
138	437	2711
139	438	2695
140	439	2679
141	440	2661
142	441	2645
143	442	2630
144	445	2625
145	446	2610
146	447	2594
147	448	2579
148	449	2565
149	450	2551
150	451	2536
151	452	2522
152	453	2508
153	454	2494
154	455	2481
155	456	2468
156	457	2456
157	458	2443
158	459	2431
159	460	2418
160	461	2406
161	462	2394
162	464	2383
163	465	2371
164	466	2359
165	467	2349
166	468	2337
167	470	2327
168	471	2316
169	472	2305
170	473	2295
171	474	2283
172	475	2272
173	476	2262
174	477	2251
175	478	2241
176	479	2231
177	481	2221
178	482	2211
179	483	2200
180	484	2191
181	485	2180
182	486	2170
183	487	2161
184	488	2152
185	489	2143
186	490	2134
187	492	2125
188	493	2116
189	494	2107
190	495	2097
191	496	2088
192	497	2079
193	498	2070
194	499	2061
195	500	2052
196	501	2043
197	502	2035
198	503	2026
199	504	2018
200	505	2009
201	506	2001
202	507	1992
203	508	1984
204	509	1976
205	510	1968
206	511	1960
207	512	1952
208	513	1944
209	514	1936
210	516	1929
211	517	1922
212	518	1914
213	519	1907
214	520	1900
215	521	1892
216	522	1885
217	523	1877
218	524	1870
219	525	1863
220	526	1855
221	527	1848
222	528	1841
223	529	1834
224	530	1827
225	531	1820
226	532	1814
227	533	1807
228	534	1801
229	536	1794
230	537	1789
231	538	1783
232	539	1776
233	540	1770
234	541	1764
235	542	1757
236	543	1751
237	544	1744
238	546	1738
239	547	1732
240	548	1726
241	549	1721
242	550	1714
243	551	1708
244	552	1702
245	553	1695
246	554	1689
247	555	1683
248	556	1677
249	557	1671
250	558	1665
251	559	1659
252	560	1653
253	561	1648
254	562	1642
255	563	1637
256	564	1631
257	565	1626
258	566	1621
259	567	1616
260	569	1611
261	570	1606
262	571	1600
263	572	1595
264	573	1590
265	574	1585
266	575	1579
267	576	1574
268	577	1569
269	578	1564
270	579	1559
271	580	1554
272	588	1566
273	589	1562
274	590	1557
275	591	1552
276	592	1546
277	593	1541
278	594	1536
279	595	1531
280	596	1526
281	597	1521
282	598	1516
283	599	1511
284	600	1506
285	601	1501
286	602	1497
287	603	1492
288	604	1487
289	605	1483
290	606	1478
291	607	1473
292	608	1469
293	609	1464
294	610	1460
295	612	1455
296	613	1451
297	614	1446
298	615	1441
299	616	1437
300	617	1433
301	618	1428
302	619	1424
303	620	1420
304	621	1415
305	622	1411
306	623	1406
307	624	1402
308	625	1398
309	626	1394
310	627	1390
311	628	1385
312	629	1381
313	630	1377
314	631	1373
315	632	1369
316	633	1365
317	634	1361
318	635	1357
319	636	1353
320	637	1348
321	638	1344
322	639	1340
323	640	1336
324	641	1332
325	642	1328
326	643	1325
327	644	1321
328	645	1317
329	646	1313
330	648	1309
331	649	1305
332	650	1302
333	651	1298
334	652	1294
335	653	1290
336	654	1286
337	654	1282
338	656	1279
339	657	1275
340	658	1271
341	659	1267
342	659	1264
343	660	1260
344	661	1256
345	662	1253
346	664	1249
347	665	1246
348	666	1242
349	667	1238
350	668	1235
351	669	1231
352	670	1228
353	670	1224
354	671	1220
355	672	1217
356	673	1213
357	675	1210
358	676	1207
359	677	1203
360	678	1200
361	679	1197
362	680	1193
363	681	1190
364	682	1186
365	683	1183
366	684	1180
367	685	1176
368	686	1173
369	687	1170
370	688	1167
371	689	1163
372	690	1160
373	691	1157
374	692	1153
375	693	1150
376	694	1147
377	695	1144
378	696	1141
379	697	1137
380	698	1134
381	699	1131
382	700	1128
383	701	1125
384	702	1122
385	703	1119
386	704	1116
387	705	1113
388	706	1109
389	707	1106
390	708	1103
391	709	1100
392	710	1097
393	711	1094
394	712	1091
395	713	1088
396	714	1084
397	715	1081
398	716	1078
399	717	1075
400	718	1073
401	719	1070
402	720	1067
403	721	1064
404	722	1061
405	723	1058
406	724	1055
407	725	1052
408	726	1049
409	727	1046
410	728	1043
411	729	1041
412	730	1038
413	731	1035
414	732	1032
415	733	1029
416	734	1026
417	735	1023
418	736	1021
419	737	1018
420	738	1015
421	739	1012
422	740	1009
423	741	1007
424	742	1004
425	743	1001
426	744	998
427	745	996
428	746	993
429	747	990
430	748	987
431	749	985
432	750	982
433	751	979
434	752	977
435	753	974
436	754	972
437	755	969
438	756	966
439	757	964
440	758	961
441	759	958
442	760	956
443	761	953
444	762	951
445	763	948
446	764	946
447	765	943
448	766	941
449	767	938
450	768	936
451	769	933
452	770	930
453	771	928
454	773	925
455	774	923
456	775	920
457	776	918
458	777	916
459	778	913
460	779	911
461	780	908
462	781	906
463	782	903
464	783	901
465	784	898
466	785	896
467	786	894
468	787	891
469	788	889
470	789	886
471	790	884
472	791	881
473	792	879
474	793	876
475	794	874
476	795	872
477	796	869
478	797	867
479	798	865
480	799	862
481	800	860
482	801	858
483	802	855
484	803	853
485	804	850
486	805	848
487	806	846
488	807	843
489	808	841
490	809	839
491	810	836
492	811	834
493	812	832
494	813	829
495	814	827
496	815	825
497	816	823
498	817	820
499	818	818
500	819	816
501	820	813
502	821	811
503	822	809
504	823	807
505	824	805
506	825	802
507	826	800
508	827	798
509	828	796
510	829	793
511	834	794
512	837	795
513	841	795
514	844	795
515	846	794
516	849	793
517	851	792
518	853	790
519	855	789
520	857	787
521	858	786
522	860	784
523	861	782
524	863	781
525	864	779
526	866	777
527	867	775
528	868	773
529	869	771
530	871	769
531	872	767
532	873	765
533	875	763
534	876	761
535	877	759
536	879	758
537	880	755
538	881	753
539	882	751
540	883	749
541	884	747
542	885	745
543	887	743
544	888	741
545	889	739
546	890	737
547	892	735
548	893	734
549	894	731
550	896	730
551	897	728
552	898	726
553	900	724
554	901	722
555	903	721
556	904	719
557	906	717
558	907	715
559	909	714
560	910	712
561	911	710
562	912	708
563	914	706
564	915	704
565	916	702
566	917	700
567	918	698
568	919	696
569	920	694
570	921	692
571	922	690
572	924	689
573	926	687
574	927	685
575	928	683
576	929	681
577	931	679
578	932	678
579	933	676
580	934	674
581	936	672
582	937	670
583	938	668
584	939	666
585	940	664
586	941	662
587	942	660
588	943	658
589	944	656
590	945	654
591	946	652
592	947	650
593	948	648
594	949	646
595	950	644
596	951	641
597	952	640
598	953	638
599	954	636
600	955	634
601	956	632
602	957	630
603	958	628
604	959	626
605	960	624
606	961	622
607	962	620
608	963	618
609	964	616
610	965	614
611	966	613
612	968	611
613	969	609
614	970	607
615	971	605
616	972	603
617	973	601
618	974	599
619	975	598
620	976	596
621	977	594
622	978	592
623	979	590
624	980	588
625	981	586
626	982	584
627	983	582
628	984	580
629	986	579
630	987	577
631	988	575
632	989	573
633	990	571
634	991	569
635	992	567
636	993	565
637	994	564
638	995	562
639	996	560
640	997	558
641	998	556
642	999	554
643	1000	552
644	1001	551
645	1002	549
646	1003	547
647	1004	545
648	1005	543
649	1006	541
650	1007	539
651	1008	538
652	1009	536
653	1010	534
654	1011	532
655	1012	530
656	1013	528
657	1014	527
658	1015	525
659	1016	523
660	1017	521
661	1018	519
662	1019	518
663	1020	516
664	1021	514
665	1022	512
666	1023	511
667	1024	509
668	1025	507
669	1026	505
670	1028	504
671	1029	502
672	1029	500
673	1031	498
674	1031	496
675	1032	495
676	1033	493
677	1034	491
678	1036	489
679	1037	488
680	1038	486
681	1039	484
682	1040	483
683	1041	481
684	1042	479
685	1043	477
686	1044	476
687	1045	474
688	1046	472
689	1047	470
690	1049	469
691	1050	467
692	1051	465
693	1052	463
694	1053	462
695	1054	460
696	1055	458
697	1056	457
698	1057	455
699	1058	453
700	1059	451
701	1060	450
702	1061	448
703	1062	446
704	1063	444
705	1064	443
706	1065	441
707	1066	440
708	1067	438
709	1069	436
710	1069	434
711	1071	433
712	1072	431
713	1073	429
714	1074	428
715	1075	426
716	1076	424
717	1077	423
718	1078	421
719	1079	419
720	1080	418
721	1081	416
722	1082	414
723	1083	413
724	1085	411
725	1087	410
726	1088	408
727	1092	408
728	1094	406
729	1096	405
730	1098	404
731	1101	403
732	1103	402
733	1105	400
734	1108	399
735	1110	398
736	1112	397
737	1115	396
738	1118	394
739	1120	393
740	1122	392
741	1124	391
742	1126	389
743	1129	388
744	1131	387
745	1134	386
746	1137	385
747	1139	384
748	1141	382
749	1143	381
750	1145	379
751	1147	378
752	1150	377
753	1151	375
754	1153	374
755	1155	372
756	1158	371
757	1161	370
758	1163	369
759	1165	368
760	1168	366
761	1169	365
762	1171	363
763	1173	362
764	1175	361
765	1177	359
766	1179	358
767	1181	356
768	1182	355
769	1184	353
770	1186	352
771	1187	350
772	1189	349
773	1192	348
774	1195	347
775	1198	345
776	1199	344
777	1200	342
778	1202	341
779	1204	339
780	1205	338
781	1207	336
782	1209	335
783	1211	333
784	1212	332
785	1214	330
786	1215	329
787	1217	327
788	1218	325
789	1220	324
790	1221	322
791	1223	321
792	1224	319
793	1226	318
794	1227	316
795	1229	315
796	1230	313
797	1231	311
798	1232	310
799	1234	308
800	1235	306
801	1236	305
802	1238	303
803	1239	302
804	1240	300
805	1241	298
806	1243	297
807	1244	295
808	1245	294
809	1247	292
810	1248	290
811	1250	289
812	1251	287
813	1253	286
814	1254	284
815	1255	283
816	1258	281
817	1260	280
818	1261	278
819	1263	277
820	1265	275
821	1266	274
822	1268	272
823	1270	271
824	1271	269
825	1273	268
826	1274	266
827	1276	265
828	1277	263
829	1279	261
830	1280	260
831	1282	258
832	1283	257
833	1285	255
834	1286	254
835	1289	252
836	1291	251
837	1292	249
838	1294	248
839	1295	246
840	1297	245
841	1298	243
842	1299	242
843	1301	240
844	1302	238
845	1304	237
846	1305	235
847	1306	234
848	1308	232
849	1309	231
850	1310	229
851	1312	227
852	1314	226
853	1315	224
854	1317	223
855	1318	221
856	1319	220
857	1321	218
858	1322	217
859	1323	215
860	1325	213
861	1326	212
862	1327	210
863	1329	209
864	1331	207
865	1332	206
866	1333	204
867	1334	202
868	1335	201
869	1337	199
870	1338	198
871	1339	196
872	1341	195
873	1342	193
874	1343	191
875	1345	190
876	1346	188
877	1347	187
878	1349	185
879	1350	184
880	1351	182
881	1352	181
882	1354	179
883	1356	177
884	1357	176
